name,price,id,client_id,client_vendor_id,centre_id,cpid,hsn_code,hsn_id
KAKSHA-L CULOTTE PANTS-S2102CA0548 PR01 BLACK-28-347573-790000040590,260,108612,22351,4118,20257,109910,62046200,888
KAKSHA-L CULOTTE PANTS-S2102CA0548 PR01 BLACK-30-347574-790000040591,260,108613,22351,4118,20257,109911,62046200,888
KAKSHA-L CULOTTE PANTS-S2102CA0548 PR01 BLACK-32-347575-790000040592,260,108614,22351,4118,20257,109912,62046200,888
KAKSHA-L CULOTTE PANTS-S2102CA0548 PR01 BLACK-34-347576-790000040593,260,108611,22351,4118,20257,109913,62046200,888
